Husband_age,Husband's Education Level,Husband Occupation_(grouped),Husband Ethnicity,Husband Religion,Wife's_current_age,Wife's height(centimeters),Wife's Education Level,Wife's_occupation_(grouped),Wife's Ethnicity,Wife's Religion,residence,State,Husband_partner_jealous_if_Wife_talks_with_other_men,Husband_partner_insists_on_knowing_where_Wife_is,Ever_been_humiliated_by_husband_partner,Ever_been_insulted_or_made_to_feel_bad_by_husband_partner,"Ever_been_pushed,_shook_or_had_something_thrown_by_husband_partner",Ever_been_slapped_by_husband_partner,Person_who_usually_decides_on_Wife's_health_care,Person_who_usually_decides_on_large_household_purchases,"Wife_afraid_of_husband_partner_most_of_the_time,_sometimes_or_never"
38,Secondary or below,Other,Caste,Muslim,29,159.0,Higher Secondary,Not working,No caste / tribe,Muslim,Urban,Madhya Pradesh,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
42,Secondary or below,Skilled and unskilled manual,Caste,Muslim,39,,Secondary or below,Not working,Caste,Muslim,Urban,Madhya Pradesh,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
54,Secondary or below,Skilled and unskilled manual,Caste,Muslim,46,154.8,Secondary or below,Not working,Caste,Muslim,Urban,Madhya Pradesh,,,,,,,Husband/partner alone,Husband/partner alone,
29,Secondary or below,Services / household and domestic,Caste,Hindu,26,141.1,Higher Secondary,Not working,Caste,Hindu,Urban,Madhya Pradesh,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
52,Graduate (B.Tech/B.Sc/BA),Skilled and unskilled manual,Caste,Hindu,49,145.2,Graduate (B.Tech/B.Sc/BA),Not working,Caste,Hindu,Urban,Madhya Pradesh,,,,,,,Husband/partner alone,Respondent and husband/partner,
34,Graduate (B.Tech/B.Sc/BA),Sales,Caste,Hindu,32,156.0,Secondary or below,Not working,Caste,Hindu,Urban,Madhya Pradesh,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
40,Secondary or below,Sales,Caste,Hindu,37,157.7,Secondary or below,Not working,Caste,Hindu,Urban,Madhya Pradesh,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
45,Secondary or below,Skilled and unskilled manual,Caste,Hindu,42,149.7,Secondary or below,Not working,Caste,Hindu,Urban,Madhya Pradesh,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
45,Secondary or below,Skilled and unskilled manual,Caste,Hindu,38,145.5,Secondary or below,Not working,Caste,Hindu,Urban,Madhya Pradesh,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
50,Secondary or below,Skilled and unskilled manual,Caste,Hindu,45,,Secondary or below,Not working,Caste,Hindu,Urban,Madhya Pradesh,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
47,Post-Graduate (MBA/MA),Sales,Caste,Hindu,42,168.7,Graduate (B.Tech/B.Sc/BA),Not working,Caste,Hindu,Urban,Madhya Pradesh,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
51,Secondary or below,Skilled and unskilled manual,Don't know,Hindu,48,151.2,Secondary or below,Skilled and unskilled manual,Don't know,Hindu,Urban,Madhya Pradesh,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
28,Secondary or below,Agricultural,Caste,Hindu,26,158.4,Secondary or below,Not working,Caste,Hindu,Rural,Madhya Pradesh,,,,,,,Respondent alone,Husband/partner alone,
32,Secondary or below,Agricultural,Caste,Hindu,30,154.3,Secondary or below,Not working,Caste,Hindu,Rural,Madhya Pradesh,,,,,,,Respondent and husband/partner,Husband/partner alone,
29,Secondary or below,Agricultural,Caste,Hindu,27,152.8,Secondary or below,Not working,Caste,Hindu,Rural,Madhya Pradesh,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
27,Higher Secondary,Agricultural,Caste,Hindu,27,154.7,Secondary or below,Not working,Caste,Hindu,Rural,Madhya Pradesh,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
26,Secondary or below,Agricultural,Caste,Hindu,23,147.3,Secondary or below,Agricultural,Caste,Hindu,Rural,Madhya Pradesh,,,,,,,Respondent and husband/partner,Husband/partner alone,
37,Secondary or below,Agricultural,Caste,Hindu,29,154.8,Secondary or below,Not working,Caste,Hindu,Rural,Madhya Pradesh,,,,,,,Respondent and husband/partner,Someone else,
44,Secondary or below,Agricultural,Caste,Hindu,43,149.4,Secondary or below,Not working,Caste,Hindu,Rural,Madhya Pradesh,,,,,,,Respondent alone,Husband/partner alone,
25,Secondary or below,Agricultural,Caste,Hindu,23,150.2,Secondary or below,Not working,Caste,Hindu,Rural,Madhya Pradesh,,,,,,,Respondent and husband/partner,Someone else,
42,Secondary or below,Agricultural,Caste,Hindu,40,147.7,Secondary or below,Not working,Caste,Hindu,Rural,Madhya Pradesh,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
48,Secondary or below,Agricultural,Caste,Hindu,46,157.2,Secondary or below,Agricultural,Caste,Hindu,Rural,Madhya Pradesh,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
23,Secondary or below,Agricultural,Caste,Hindu,20,142.4,Secondary or below,Not working,Caste,Hindu,Rural,Madhya Pradesh,,,,,,,Husband/partner alone,Husband/partner alone,
36,Secondary or below,Agricultural,Caste,Hindu,29,148.3,Secondary or below,Agricultural,Caste,Hindu,Rural,Madhya Pradesh,,,,,,,Respondent and husband/partner,Husband/partner alone,
20,Secondary or below,Agricultural,Caste,Hindu,20,155.5,Secondary or below,Not working,Caste,Hindu,Rural,Madhya Pradesh,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
37,Secondary or below,Skilled and unskilled manual,Caste,Hindu,33,155.3,Secondary or below,Not working,Caste,Hindu,Rural,Madhya Pradesh,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
43,Secondary or below,Sales,Caste,Hindu,39,152.1,Secondary or below,Agricultural,Caste,Hindu,Rural,Madhya Pradesh,,,,,,,Someone else,Someone else,
41,Secondary or below,Agricultural,Caste,Hindu,38,146.8,Secondary or below,Agricultural,Caste,Hindu,Rural,Madhya Pradesh,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
39,Secondary or below,Not working,Caste,Hindu,37,155.1,Secondary or below,Agricultural,Caste,Hindu,Rural,Madhya Pradesh,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
47,Secondary or below,Skilled and unskilled manual,Caste,Hindu,43,156.2,Secondary or below,Not working,Caste,Hindu,Rural,Madhya Pradesh,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
26,Secondary or below,Services / household and domestic,Caste,Hindu,26,163.0,Graduate (B.Tech/B.Sc/BA),Not working,Caste,Hindu,Rural,Madhya Pradesh,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
52,Secondary or below,Agricultural,Caste,Hindu,48,148.2,Secondary or below,Not working,Caste,Hindu,Rural,Madhya Pradesh,,,,,,,Husband/partner alone,Husband/partner alone,
40,Secondary or below,Agricultural,Caste,Hindu,38,154.2,Secondary or below,Agricultural,Caste,Hindu,Rural,Madhya Pradesh,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
31,Secondary or below,Skilled and unskilled manual,Tribe,Hindu,30,154.3,Secondary or below,Agricultural,Caste,Hindu,Rural,Madhya Pradesh,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
35,Secondary or below,Sales,Caste,Jain,33,155.2,Secondary or below,Agricultural,Caste,Hindu,Rural,Madhya Pradesh,,,,,,,Husband/partner alone,Husband/partner alone,
20,Secondary or below,Skilled and unskilled manual,Tribe,Hindu,19,149.9,Secondary or below,Not working,Caste,Hindu,Rural,Madhya Pradesh,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
35,Secondary or below,Agricultural,No caste / tribe,Hindu,32,145.5,Secondary or below,Agricultural,Caste,Hindu,Rural,Madhya Pradesh,,,,,,,Husband/partner alone,Husband/partner alone,
45,Secondary or below,Agricultural,No caste / tribe,Hindu,46,153.2,Secondary or below,Not working,Caste,Hindu,Rural,Madhya Pradesh,,,,,,,Husband/partner alone,Respondent and husband/partner,
43,Post-Graduate (MBA/MA),Professional / technical / managerial,Caste,Hindu,38,167.6,Secondary or below,Not working,Caste,Hindu,Rural,Madhya Pradesh,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
36,Higher Secondary,Agricultural,Caste,Hindu,35,154.4,Secondary or below,Not working,Caste,Hindu,Rural,Madhya Pradesh,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
50,Secondary or below,Agricultural,Caste,Hindu,45,155.4,Secondary or below,Not working,Caste,Hindu,Rural,Madhya Pradesh,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
25,Secondary or below,Skilled and unskilled manual,Caste,Hindu,21,158.8,Secondary or below,Not working,Caste,Muslim,Rural,Madhya Pradesh,,,,,,,Husband/partner alone,Husband/partner alone,
30,Graduate (B.Tech/B.Sc/BA),Clerical,Caste,Hindu,27,140.0,Graduate (B.Tech/B.Sc/BA),Not working,Caste,Hindu,Urban,Madhya Pradesh,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
25,Secondary or below,Sales,Caste,Hindu,22,140.2,Secondary or below,Not working,Caste,Hindu,Urban,Madhya Pradesh,,,,,,,Husband/partner alone,Respondent and husband/partner,
40,Secondary or below,Sales,Caste,Hindu,38,157.9,Secondary or below,Not working,Caste,Hindu,Urban,Madhya Pradesh,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
30,Secondary or below,Agricultural,Caste,Hindu,25,145.0,Secondary or below,Not working,Caste,Hindu,Urban,Madhya Pradesh,,,,,,,Husband/partner alone,Husband/partner alone,
27,Secondary or below,Agricultural,Caste,Hindu,25,149.9,Secondary or below,Not working,Caste,Hindu,Urban,Madhya Pradesh,,,,,,,Husband/partner alone,Respondent alone,
35,Secondary or below,Agricultural,Caste,Hindu,32,142.3,Secondary or below,Not working,Caste,Hindu,Rural,Madhya Pradesh,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
24,Graduate (B.Tech/B.Sc/BA),Agricultural,Caste,Hindu,19,161.3,Secondary or below,Not working,Caste,Hindu,Rural,Madhya Pradesh,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
45,Secondary or below,Agricultural,Caste,Hindu,43,163.2,Secondary or below,Not working,Caste,Hindu,Rural,Madhya Pradesh,,,,,,,Husband/partner alone,Respondent alone,
54,Secondary or below,Agricultural,Tribe,Hindu,49,149.5,Secondary or below,Not working,Tribe,Hindu,Rural,Madhya Pradesh,,,,,,,Husband/partner alone,Husband/partner alone,
50,Secondary or below,Agricultural,Caste,Hindu,45,155.0,Secondary or below,Not working,No caste / tribe,Hindu,Rural,Madhya Pradesh,,,,,,,Husband/partner alone,Husband/partner alone,
33,Secondary or below,Skilled and unskilled manual,Caste,Hindu,28,152.3,Secondary or below,Not working,Caste,Hindu,Rural,Madhya Pradesh,,,,,,,Husband/partner alone,Husband/partner alone,
25,Secondary or below,Agricultural,Caste,Hindu,18,142.2,Secondary or below,Not working,Caste,Hindu,Rural,Madhya Pradesh,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
48,Secondary or below,Agricultural,Caste,Hindu,46,155.2,Secondary or below,Agricultural,Tribe,Hindu,Rural,Madhya Pradesh,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
45,Secondary or below,Agricultural,Caste,Hindu,42,147.4,Secondary or below,Not working,Caste,Hindu,Rural,Madhya Pradesh,,,,,,,Husband/partner alone,Husband/partner alone,
40,Secondary or below,Agricultural,Caste,Hindu,35,151.5,Secondary or below,Agricultural,Caste,Hindu,Rural,Madhya Pradesh,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
36,Secondary or below,Agricultural,Caste,Hindu,29,148.2,Secondary or below,Agricultural,Caste,Hindu,Rural,Madhya Pradesh,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
45,Secondary or below,Agricultural,Caste,Hindu,43,149.5,Secondary or below,Agricultural,Caste,Hindu,Rural,Madhya Pradesh,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
23,Secondary or below,Agricultural,Caste,Hindu,20,156.3,Secondary or below,Not working,Caste,Hindu,Rural,Madhya Pradesh,,,,,,,Someone else,Someone else,
45,Secondary or below,Agricultural,Caste,Hindu,42,155.5,Secondary or below,Agricultural,Caste,Hindu,Rural,Madhya Pradesh,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
29,Secondary or below,Agricultural,Caste,Hindu,27,149.2,Secondary or below,Not working,Caste,Hindu,Rural,Madhya Pradesh,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
23,Higher Secondary,Agricultural,Caste,Hindu,21,156.7,Higher Secondary,Not working,Caste,Hindu,Rural,Madhya Pradesh,,,,,,,Respondent and husband/partner,Other,
50,Secondary or below,Agricultural,Caste,Hindu,48,157.2,Secondary or below,Agricultural,Caste,Hindu,Rural,Madhya Pradesh,,,,,,,Husband/partner alone,Respondent and husband/partner,
50,Secondary or below,Agricultural,Caste,Hindu,42,156.2,Secondary or below,Agricultural,Caste,Hindu,Rural,Madhya Pradesh,,,,,,,Respondent alone,Respondent and husband/partner,
53,Secondary or below,Agricultural,Caste,Hindu,48,154.8,Secondary or below,Not working,Caste,Hindu,Rural,Madhya Pradesh,,,,,,,Husband/partner alone,Husband/partner alone,
49,Secondary or below,Sales,Caste,Hindu,44,158.4,Secondary or below,Agricultural,Caste,Hindu,Rural,Madhya Pradesh,,,,,,,Respondent alone,Respondent and husband/partner,
53,Secondary or below,Agricultural,Caste,Hindu,48,158.8,Secondary or below,Agricultural,Caste,Hindu,Rural,Madhya Pradesh,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
19,Graduate (B.Tech/B.Sc/BA),Skilled and unskilled manual,Caste,Hindu,19,165.7,Higher Secondary,Not working,Caste,Hindu,Rural,Madhya Pradesh,,,,,,,Husband/partner alone,Husband/partner alone,
33,Graduate (B.Tech/B.Sc/BA),Professional / technical / managerial,Caste,Hindu,30,158.2,Graduate (B.Tech/B.Sc/BA),Professional / technical / managerial,Caste,Hindu,Rural,Madhya Pradesh,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
18,Secondary or below,Skilled and unskilled manual,Caste,Hindu,17,157.2,Secondary or below,Not working,Caste,Hindu,Rural,Madhya Pradesh,,,,,,,Husband/partner alone,Husband/partner alone,
27,Secondary or below,Skilled and unskilled manual,Caste,Hindu,25,161.3,Secondary or below,Agricultural,Caste,Hindu,Rural,Madhya Pradesh,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
35,Secondary or below,Skilled and unskilled manual,Caste,Hindu,30,148.2,Secondary or below,Not working,Caste,Hindu,Rural,Madhya Pradesh,,,,,,,Husband/partner alone,Husband/partner alone,
50,Secondary or below,Agricultural,Caste,Hindu,47,155.4,Secondary or below,Agricultural,Caste,Hindu,Urban,Madhya Pradesh,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
27,Secondary or below,Sales,Caste,Hindu,25,149.6,Secondary or below,Not working,Caste,Hindu,Urban,Madhya Pradesh,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
35,Secondary or below,Skilled and unskilled manual,Caste,Hindu,34,150.5,Secondary or below,Not working,Caste,Hindu,Urban,Madhya Pradesh,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
32,Secondary or below,Skilled and unskilled manual,Caste,Muslim,25,148.6,Higher Secondary,Not working,Caste,Muslim,Urban,Madhya Pradesh,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
33,Secondary or below,Sales,Caste,Hindu,31,149.8,Secondary or below,Not working,Caste,Hindu,Urban,Madhya Pradesh,,,,,,,Husband/partner alone,Husband/partner alone,
32,Graduate (B.Tech/B.Sc/BA),Clerical,Caste,Hindu,29,159.3,Post-Graduate (MBA/MA),Sales,Caste,Hindu,Urban,Madhya Pradesh,,,,,,,Respondent alone,Respondent alone,
49,Higher Secondary,Sales,Caste,Hindu,42,153.8,Secondary or below,Not working,Caste,Hindu,Urban,Madhya Pradesh,,,,,,,Husband/partner alone,Respondent and husband/partner,
30,Graduate (B.Tech/B.Sc/BA),Professional / technical / managerial,Caste,Hindu,25,157.2,Higher Secondary,Sales,Caste,Hindu,Urban,Madhya Pradesh,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
37,Graduate (B.Tech/B.Sc/BA),Professional / technical / managerial,Caste,Hindu,31,160.7,Higher Secondary,Not working,Caste,Hindu,Urban,Madhya Pradesh,,,,,,,Respondent alone,Respondent and husband/partner,
50,Graduate (B.Tech/B.Sc/BA),Services / household and domestic,Caste,Hindu,41,155.8,Graduate (B.Tech/B.Sc/BA),Not working,Caste,Hindu,Urban,Madhya Pradesh,,,,,,,Respondent alone,Respondent and husband/partner,
41,Secondary or below,Skilled and unskilled manual,Caste,Hindu,39,150.0,Secondary or below,Not working,Caste,Hindu,Urban,Madhya Pradesh,,,,,,,Husband/partner alone,Husband/partner alone,
27,Secondary or below,Skilled and unskilled manual,Caste,Hindu,24,151.5,Graduate (B.Tech/B.Sc/BA),Not working,Caste,Hindu,Urban,Madhya Pradesh,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
25,Secondary or below,Not working,Caste,Hindu,23,147.8,Secondary or below,Not working,Caste,Hindu,Urban,Madhya Pradesh,,,,,,,Respondent and husband/partner,Someone else,
21,Secondary or below,Skilled and unskilled manual,Caste,Hindu,22,162.2,Secondary or below,Services / household and domestic,Caste,Hindu,Urban,Madhya Pradesh,,,,,,,Husband/partner alone,Husband/partner alone,
26,Secondary or below,Agricultural,Tribe,Hindu,25,155.2,Secondary or below,Not working,Tribe,Hindu,Rural,Madhya Pradesh,,,,,,,Someone else,Respondent and husband/partner,
21,Secondary or below,Agricultural,Tribe,Hindu,18,147.2,Secondary or below,Agricultural,Tribe,Hindu,Rural,Madhya Pradesh,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
48,Secondary or below,Agricultural,Tribe,Hindu,46,163.2,Secondary or below,Agricultural,Tribe,Hindu,Rural,Madhya Pradesh,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
52,Secondary or below,Agricultural,Tribe,Hindu,48,156.4,Secondary or below,Not working,Caste,Hindu,Rural,Madhya Pradesh,,,,,,,Respondent alone,Respondent and husband/partner,
51,Secondary or below,Skilled and unskilled manual,Caste,Hindu,49,147.5,Secondary or below,Agricultural,Tribe,Hindu,Rural,Madhya Pradesh,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
46,Secondary or below,Agricultural,Caste,Hindu,42,147.5,Secondary or below,Not working,No caste / tribe,Hindu,Rural,Madhya Pradesh,,,,,,,Someone else,Someone else,
27,Secondary or below,Sales,Caste,Hindu,23,162.4,Secondary or below,Not working,Caste,Hindu,Rural,Madhya Pradesh,,,,,,,Respondent alone,Husband/partner alone,
43,Secondary or below,Agricultural,Caste,Hindu,42,157.2,Secondary or below,Not working,Caste,Hindu,Rural,Madhya Pradesh,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
50,Secondary or below,Services / household and domestic,Caste,Hindu,47,151.1,Secondary or below,Agricultural,Caste,Hindu,Rural,Madhya Pradesh,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
41,Secondary or below,Agricultural,Caste,Hindu,39,150.1,Secondary or below,Agricultural,Caste,Hindu,Rural,Madhya Pradesh,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
52,Secondary or below,Agricultural,Caste,Hindu,48,158.4,Secondary or below,Agricultural,Tribe,Hindu,Rural,Madhya Pradesh,,,,,,,Respondent and husband/partner,Husband/partner alone,
52,Secondary or below,Skilled and unskilled manual,Caste,Hindu,49,151.2,Secondary or below,Agricultural,Caste,Hindu,Rural,Madhya Pradesh,,,,,,,Respondent and husband/partner,Husband/partner alone,
51,Higher Secondary,Sales,Caste,Hindu,46,151.2,Higher Secondary,Not working,Caste,Hindu,Rural,Madhya Pradesh,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
50,Secondary or below,Skilled and unskilled manual,No caste / tribe,Muslim,48,147.8,Secondary or below,Agricultural,Caste,Muslim,Urban,Madhya Pradesh,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
49,Secondary or below,Skilled and unskilled manual,Caste,Muslim,38,,Secondary or below,Not working,Caste,Muslim,Urban,Madhya Pradesh,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
52,Secondary or below,Skilled and unskilled manual,Caste,Hindu,47,,Secondary or below,Not working,Caste,Muslim,Urban,Madhya Pradesh,,,,,,,Respondent and husband/partner,Husband/partner alone,
54,Graduate (B.Tech/B.Sc/BA),Skilled and unskilled manual,Caste,Muslim,49,,Secondary or below,Not working,Caste,Muslim,Urban,Madhya Pradesh,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
25,Secondary or below,Skilled and unskilled manual,Caste,Muslim,22,,Secondary or below,Not working,Caste,Muslim,Urban,Madhya Pradesh,,,,,,,Respondent and husband/partner,Someone else,
40,Secondary or below,Agricultural,Tribe,Hindu,40,148.3,Secondary or below,Not working,Caste,Hindu,Rural,Madhya Pradesh,,,,,,,Respondent and husband/partner,Husband/partner alone,
41,Secondary or below,Agricultural,Caste,Hindu,38,150.4,Secondary or below,Agricultural,Tribe,Hindu,Rural,Madhya Pradesh,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
25,Secondary or below,Agricultural,Caste,Hindu,26,147.5,Secondary or below,Agricultural,Tribe,Hindu,Rural,Madhya Pradesh,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
43,Secondary or below,Agricultural,Caste,Hindu,41,147.2,Secondary or below,Not working,Tribe,Hindu,Rural,Madhya Pradesh,,,,,,,Husband/partner alone,Husband/partner alone,
20,Secondary or below,Agricultural,Caste,Hindu,21,154.6,Higher Secondary,Agricultural,Tribe,Hindu,Rural,Madhya Pradesh,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
48,Secondary or below,Agricultural,Caste,Hindu,45,152.3,Secondary or below,Agricultural,Caste,Hindu,Rural,Madhya Pradesh,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
45,Secondary or below,Agricultural,Tribe,Hindu,42,155.6,Secondary or below,Not working,Caste,Hindu,Rural,Madhya Pradesh,,,,,,,Respondent alone,Husband/partner alone,
21,Secondary or below,Agricultural,Tribe,Hindu,18,150.4,Secondary or below,Not working,Tribe,Hindu,Rural,Madhya Pradesh,,,,,,,Husband/partner alone,Husband/partner alone,
44,Secondary or below,Agricultural,Tribe,Hindu,41,156.6,Secondary or below,Not working,Caste,Hindu,Rural,Madhya Pradesh,,,,,,,Husband/partner alone,Husband/partner alone,
24,Secondary or below,Agricultural,Tribe,Hindu,23,152.3,Secondary or below,Agricultural,Tribe,Hindu,Rural,Madhya Pradesh,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
53,Secondary or below,Agricultural,Caste,Hindu,46,154.0,Secondary or below,Agricultural,Caste,Hindu,Rural,Madhya Pradesh,,,,,,,Respondent and husband/partner,Husband/partner alone,
16,Secondary or below,Agricultural,Tribe,Hindu,15,142.5,Secondary or below,Not working,Caste,Hindu,Rural,Madhya Pradesh,,,,,,,Husband/partner alone,Respondent and husband/partner,
30,Secondary or below,Agricultural,Tribe,Hindu,28,150.7,Secondary or below,Not working,Tribe,Hindu,Rural,Madhya Pradesh,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
45,Secondary or below,Agricultural,Caste,Hindu,40,159.7,Secondary or below,Don't know,Caste,Hindu,Rural,Madhya Pradesh,,,,,,,Respondent and husband/partner,Husband/partner alone,
40,Secondary or below,Agricultural,Caste,Hindu,38,155.8,Secondary or below,Agricultural,Caste,Hindu,Rural,Madhya Pradesh,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
21,Secondary or below,Agricultural,Caste,Hindu,21,148.8,Secondary or below,Other,Caste,Hindu,Rural,Madhya Pradesh,,,,,,,Respondent alone,Husband/partner alone,
35,Secondary or below,Agricultural,Tribe,Hindu,30,147.9,Secondary or below,Not working,Tribe,Hindu,Rural,Madhya Pradesh,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
25,Secondary or below,Agricultural,Tribe,Hindu,21,149.7,Higher Secondary,Not working,Caste,Hindu,Rural,Madhya Pradesh,,,,,,,Husband/partner alone,Respondent and husband/partner,
34,Secondary or below,Skilled and unskilled manual,Caste,Hindu,32,166.7,Secondary or below,Not working,Caste,Hindu,Rural,Madhya Pradesh,,,,,,,Respondent and husband/partner,Husband/partner alone,
26,Secondary or below,Agricultural,Caste,Hindu,26,150.9,Secondary or below,Not working,Tribe,Hindu,Rural,Madhya Pradesh,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
18,Secondary or below,Agricultural,Tribe,Hindu,17,148.6,Secondary or below,Not working,Tribe,Hindu,Rural,Madhya Pradesh,,,,,,,Respondent alone,Respondent alone,
35,Secondary or below,Agricultural,Caste,Hindu,34,144.9,Secondary or below,Agricultural,Caste,Hindu,Rural,Madhya Pradesh,,,,,,,Husband/partner alone,Husband/partner alone,
36,Higher Secondary,Agricultural,Caste,Hindu,34,150.1,Higher Secondary,Not working,Caste,Hindu,Rural,Madhya Pradesh,,,,,,,Someone else,Someone else,
39,Secondary or below,Agricultural,Caste,Hindu,37,152.1,Secondary or below,Agricultural,Caste,Hindu,Rural,Madhya Pradesh,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
49,Secondary or below,Agricultural,Tribe,Hindu,47,156.4,Secondary or below,Agricultural,Caste,Hindu,Rural,Madhya Pradesh,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
26,Secondary or below,Agricultural,Tribe,Hindu,23,150.3,Secondary or below,Agricultural,Caste,Hindu,Rural,Madhya Pradesh,,,,,,,Respondent alone,Respondent and husband/partner,
24,Secondary or below,Agricultural,Caste,Hindu,22,143.1,Secondary or below,Not working,Caste,Hindu,Rural,Madhya Pradesh,,,,,,,Husband/partner alone,Husband/partner alone,
37,Secondary or below,Agricultural,Caste,Hindu,34,150.6,Secondary or below,Agricultural,Caste,Hindu,Rural,Madhya Pradesh,,,,,,,Husband/partner alone,Husband/partner alone,
22,Secondary or below,Agricultural,Caste,Hindu,21,150.0,Secondary or below,Agricultural,Caste,Hindu,Rural,Madhya Pradesh,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
30,Secondary or below,Skilled and unskilled manual,Caste,Muslim,28,158.1,Secondary or below,Not working,Caste,Muslim,Urban,Madhya Pradesh,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
35,Secondary or below,Not working,Caste,Muslim,30,161.3,Secondary or below,Not working,Caste,Muslim,Urban,Madhya Pradesh,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
35,Secondary or below,Sales,Caste,Muslim,32,,Secondary or below,Not working,Caste,Muslim,Urban,Madhya Pradesh,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
34,Secondary or below,Agricultural,Caste,Hindu,32,161.2,Secondary or below,Agricultural,Caste,Hindu,Urban,Madhya Pradesh,,,,,,,Respondent alone,Respondent and husband/partner,
32,Higher Secondary,Agricultural,Caste,Hindu,29,151.5,Secondary or below,Agricultural,Caste,Hindu,Urban,Madhya Pradesh,,,,,,,Respondent and husband/partner,Husband/partner alone,
33,Post-Graduate (MBA/MA),Services / household and domestic,Caste,Hindu,31,161.5,Post-Graduate (MBA/MA),Professional / technical / managerial,Caste,Hindu,Urban,Madhya Pradesh,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
50,Secondary or below,Other,Tribe,Hindu,48,150.8,Secondary or below,Not working,Tribe,Hindu,Urban,Madhya Pradesh,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
30,Secondary or below,Agricultural,Caste,Hindu,29,165.4,Secondary or below,Not working,Tribe,Hindu,Rural,Madhya Pradesh,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
35,Secondary or below,Skilled and unskilled manual,Caste,Hindu,32,150.5,Secondary or below,Not working,Caste,Hindu,Rural,Madhya Pradesh,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
